name,province_id,province_name,category_id,category_name,ratings,reviews_count
Royal Palace of Cambodia,1,Phnom Penh,1,Tourist Attraction,4.3,12506.0
Tuol Sleng Genocide Museum,1,Phnom Penh,1,Tourist Attraction,4.6,11655.0
Wat Phnom Daun Penh,1,Phnom Penh,1,Tourist Attraction,4.4,8646.0
National Museum of Cambodia,1,Phnom Penh,1,Tourist Attraction,4.1,6478.0
Independence Monument,1,Phnom Penh,1,Tourist Attraction,4.5,4894.0
Choeung Ek Genocidal Center,1,Phnom Penh,1,Tourist Attraction,4.6,1977.0
Silver Pagoda,1,Phnom Penh,1,Tourist Attraction,4.4,2273.0
Royal Palace Park,1,Phnom Penh,1,Tourist Attraction,4.5,5222.0
Sisowath Riverside Park,1,Phnom Penh,1,Tourist Attraction,4.4,2655.0
Statue of His Majesty Preah Bat Samdech Preah Norodom Sihanouk,1,Phnom Penh,1,Tourist Attraction,4.6,1867.0
PH Euro Park,1,Phnom Penh,1,Tourist Attraction,4.5,2001.0
The Giant Clock of Phnom Penh,1,Phnom Penh,1,Tourist Attraction,4.2,125.0
Wat Langka Preah Kossamaram,1,Phnom Penh,1,Tourist Attraction,4.4,461.0
Wat Botum Park,1,Phnom Penh,1,Tourist Attraction,4.4,4471.0
Bassac Street,1,Phnom Penh,1,Tourist Attraction,4.5,203.0
នាងប្រាជ្ញាបារមី (រូបសំណាក),1,Phnom Penh,1,Tourist Attraction,4.5,78.0
PH Euro Park Waterfall,1,Phnom Penh,1,Tourist Attraction,4.4,55.0
Konghing Fountain,1,Phnom Penh,1,Tourist Attraction,4.2,29.0
Mondap Hill,1,Phnom Penh,1,Tourist Attraction,4.6,23.0
Moonlight Pavilion (ព្រះទីនាំងចន្ទឆាយា),1,Phnom Penh,1,Tourist Attraction,4.5,61.0
Model of Angkor Wat,1,Phnom Penh,1,Tourist Attraction,4.5,13.0
Botum Fountain,1,Phnom Penh,1,Tourist Attraction,4.8,23.0
Olympia Fountain,1,Phnom Penh,1,Tourist Attraction,4.4,11.0
Golden Street the Chinatown,1,Phnom Penh,1,Tourist Attraction,3.3,11.0
River View-ទេសភាពទន្លេ,1,Phnom Penh,1,Tourist Attraction,4.8,12.0
Garden City Water Park,1,Phnom Penh,1,Tourist Attraction,4.4,1128.0
Doulos Hope Phnom Penh,1,Phnom Penh,1,Tourist Attraction,4.4,37.0
Bassac Square,1,Phnom Penh,1,Tourist Attraction,4.6,9.0
Naga Water Fountains,1,Phnom Penh,1,Tourist Attraction,4.3,47.0
Riverside deck promenade,1,Phnom Penh,1,Tourist Attraction,4.5,8.0
Century Plaza Fountain,1,Phnom Penh,1,Tourist Attraction,4.2,5.0
Promenade,1,Phnom Penh,1,Tourist Attraction,4.4,90.0
Phnom Penh Safari,1,Phnom Penh,1,Tourist Attraction,4.1,1827.0
Phnom Penh Night Market,1,Phnom Penh,1,Tourist Attraction,4.0,11008.0
Island river side,1,Phnom Penh,1,Tourist Attraction,5.0,3.0
BK Hotel,1,Phnom Penh,2,Hotel,4.0,117.0
Villa Martial Arts Gym & Hostel,1,Phnom Penh,2,Hotel,4.6,55.0
Lavendrata I,1,Phnom Penh,2,Hotel,3.6,7.0
腾茜大酒店·TENG XI HOTEL,1,Phnom Penh,2,Hotel,4.7,7.0
X ONE HOTEL,1,Phnom Penh,2,Hotel,4.2,75.0
NEWTIMES HOTEL,1,Phnom Penh,2,Hotel,4.1,10.0
Old Durbar Restaurant-Sky Bar & Hotel,1,Phnom Penh,2,Hotel,4.6,151.0
Sovanphum Riverside Hotel,1,Phnom Penh,2,Hotel,3.5,85.0
Silver Mounts Hotel,1,Phnom Penh,2,Hotel,4.0,360.0
Joli Hotel & Restaurant,1,Phnom Penh,2,Hotel,4.3,92.0
AMATA Residence,1,Phnom Penh,2,Hotel,4.6,34.0
Ananta Lavender,1,Phnom Penh,2,Hotel,3.5,23.0
Aquarius Hotel & Urban Resort,1,Phnom Penh,2,Hotel,4.5,1120.0
Le Castle River Hotel,1,Phnom Penh,2,Hotel,5.0,1.0
Arison Hotel - អារីសុន ហូថេល,1,Phnom Penh,2,Hotel,4.1,74.0
Comfort House,1,Phnom Penh,2,Hotel,3.7,45.0
Happy Guest House & Restaurant,1,Phnom Penh,2,Hotel,4.3,12.0
Ramada by Wyndham Phnom Penh Central,1,Phnom Penh,2,Hotel,3.7,321.0
"Helen Fin Inn & Apartment, Phnom Penh",1,Phnom Penh,2,Hotel,3.8,28.0
Okay Palace Hotel,1,Phnom Penh,2,Hotel,3.8,119.0
139 Guest House,1,Phnom Penh,2,Hotel,4.5,120.0
Old Durbar Hotel & Restaurant (F6),1,Phnom Penh,2,Hotel,3.7,3.0
THE PLACE Hostel & Garden Bar Phnom Penh,1,Phnom Penh,2,Hotel,5.0,23.0
CDX Residence,1,Phnom Penh,2,Hotel,4.9,201.0
Cozy Boutique Hotel,1,Phnom Penh,2,Hotel,4.0,95.0
TAO Riverside Residence,1,Phnom Penh,2,Hotel,4.6,105.0
889 Boutique Hotel 精品酒店,1,Phnom Penh,2,Hotel,5.0,3.0
Moonlight Villa,1,Phnom Penh,2,Hotel,2.7,76.0
Yue Tai Hotel & Apartment,1,Phnom Penh,2,Hotel,4.0,148.0
LISEKA HOTEL 丽思卡酒店,1,Phnom Penh,2,Hotel,0.0,0.0
"Daun Penh Palace Boutique, Phnom Penh",1,Phnom Penh,2,Hotel,4.6,40.0
Oakwood Premier Phnom Penh,1,Phnom Penh,2,Hotel,4.6,248.0
Onederz Phnom Penh,1,Phnom Penh,2,Hotel,4.4,1010.0
SOHO Residence,1,Phnom Penh,2,Hotel,4.0,44.0
Fairfield by Marriott Phnom Penh,1,Phnom Penh,2,Hotel,4.6,381.0
Empire House,1,Phnom Penh,2,Hotel,4.2,99.0
Ohana Phnom Penh Palace Hotel,1,Phnom Penh,2,Hotel,4.2,1011.0
Chaiya Palace Hotel,1,Phnom Penh,2,Hotel,4.7,159.0
Orussey One Boutique,1,Phnom Penh,2,Hotel,3.9,99.0
PARC 21 LUXURY BOUTIQUE HOTEL AND RESIDENCE,1,Phnom Penh,2,Hotel,4.6,215.0
Emerald Hotel Residence,1,Phnom Penh,2,Hotel,4.2,98.0
游子酒店,1,Phnom Penh,2,Hotel,4.5,2.0
The Oasis,1,Phnom Penh,2,Hotel,4.7,12.0
CHAKTOMOUK MONGKOL HOTEL,1,Phnom Penh,2,Hotel,4.6,5.0
Central Mansions,1,Phnom Penh,2,Hotel,4.8,83.0
Indra Hotel,1,Phnom Penh,2,Hotel,4.4,43.0
LCS Hotel & Apartment,1,Phnom Penh,2,Hotel,4.2,439.0
Merton Holiday Inn Phnom Penh,1,Phnom Penh,2,Hotel,4.3,32.0
Wyndham Grand Phnom Penh Capital,1,Phnom Penh,2,Hotel,4.6,25.0
សណ្ឋាគារ​ហូលីដេ,1,Phnom Penh,2,Hotel,3.8,37.0
TVA House,1,Phnom Penh,2,Hotel,4.3,20.0
Casa Boutique Hotel,1,Phnom Penh,2,Hotel,3.9,144.0
Teav Bassac Boutique Hotel & Spa,1,Phnom Penh,2,Hotel,4.0,50.0
